181
   614770.50	6758612.00	553.61
   614773.25	6758613.00	553.91
   614776.50	6758614.00	554.36
   614770.31	6758608.50	557.71
   614775.19	6758611.50	554.06
   614780.38	6758614.50	554.74
   614773.50	6758608.00	566.36
   614773.62	6758606.50	564.25
   614779.12	6758611.50	554.80
   614778.06	6758609.00	557.05
   614771.19	6758602.00	554.09
   614774.06	6758603.00	554.62
   614780.25	6758609.00	554.82
   614787.44	6758614.50	557.08
   614781.31	6758608.50	554.82
   614776.50	6758603.50	557.93
   614773.19	6758599.00	559.85
   614780.06	6758605.50	554.48
   614786.94	6758612.00	556.73
   614790.44	6758613.50	553.54
   614783.56	6758607.00	554.57
   614776.69	6758600.50	553.99
   614771.31	6758593.50	563.32
   614778.19	6758600.00	553.94
   614785.06	6758606.50	554.40
   614791.94	6758613.00	552.86
   614790.88	6758610.50	553.11
   614784.00	6758603.50	553.79
   614778.50	6758598.50	554.12
   614771.69	6758592.00	562.25
   614771.62	6758590.00	553.08
   614778.56	6758597.00	554.01
   614785.44	6758603.50	553.41
   614792.31	6758610.00	552.59
   614798.12	6758614.00	565.18
   614791.38	6758607.00	552.46
   614785.12	6758601.00	552.90
   614778.94	6758595.00	553.67
   614772.06	6758588.50	552.99
   614770.00	6758585.00	552.39
   614776.88	6758591.50	553.85
   614783.75	6758598.50	552.73
   614790.62	6758605.00	552.48
   614797.50	6758611.50	556.95
   614797.94	6758610.00	552.49
   614791.75	6758604.00	552.58
   614784.88	6758597.50	555.05
   614778.00	6758591.00	553.14
   614771.12	6758584.00	552.48
   614770.44	6758582.00	559.11
   614776.56	6758588.00	553.42
   614783.50	6758595.00	562.44
   614790.31	6758601.00	556.62
   614797.25	6758607.50	554.60
   614796.94	6758605.50	552.07
   614790.75	6758599.50	558.57
   614785.25	6758594.00	556.31
   614778.38	6758587.50	553.05
   614770.88	6758580.50	562.40
   614771.50	6758580.00	564.67
   614777.56	6758585.50	552.85
   614784.50	6758592.00	553.03
   614791.38	6758599.00	561.06
   614799.00	6758606.00	552.98
   614795.25	6758600.00	552.60
   614789.06	6758594.50	552.61
   614782.88	6758588.50	557.25
   614775.94	6758581.50	552.99
   614772.00	6758578.50	566.07
   614772.62	6758577.50	566.22
   614778.69	6758583.00	552.64
   614784.94	6758589.00	555.47
   614791.81	6758595.50	552.75
   614798.69	6758602.00	552.26
   614796.31	6758598.00	552.27
   614789.44	6758591.00	552.56
   614782.50	6758584.50	552.66
   614776.50	6758579.50	569.14
   614770.88	6758573.50	557.63
   614775.00	6758576.00	556.81
   614780.56	6758581.50	559.90
   614786.69	6758587.00	552.52
   614793.56	6758593.50	552.80
   614795.31	6758593.50	552.17
   614788.44	6758587.00	552.44
   614782.25	6758581.00	559.37
   614776.00	6758575.00	552.18
   614774.75	6758572.00	560.42
   614781.62	6758578.50	558.32
   614788.50	6758585.00	552.32
   614795.38	6758591.50	552.07
   614797.75	6758592.00	551.94
   614790.88	6758585.50	552.34
   614783.94	6758579.00	551.99
   614777.12	6758572.50	558.79
   614770.31	6758566.00	563.89
   614772.25	6758566.00	552.91
   614777.25	6758571.50	564.07
   614784.00	6758577.50	552.35
   614790.88	6758584.00	552.26
   614797.81	6758590.50	551.91
   614794.00	6758585.00	551.81
   614787.12	6758578.50	552.12
   614780.31	6758572.00	562.61
   614777.44	6758569.00	552.01
   614774.81	6758567.00	562.25
   614771.25	6758563.50	552.93
   614770.81	6758561.50	567.75
   614774.75	6758565.00	558.60
   614778.88	6758569.00	556.02
   614785.00	6758575.00	551.78
   614791.94	6758581.50	552.02
   614798.88	6758588.00	551.65
   614799.19	6758586.50	551.72
   614792.31	6758580.00	551.85
   614785.44	6758573.50	551.72
   614780.75	6758569.00	561.42
   614774.62	6758563.50	564.53
   614770.19	6758557.00	552.89
   614775.06	6758562.00	552.95
   614781.25	6758568.00	551.98
   614788.12	6758574.50	551.83
   614795.06	6758581.00	551.79
   614797.50	6758581.50	551.72
   614790.62	6758575.00	551.73
   614783.75	6758568.00	552.18
   614778.31	6758563.00	557.36
   614772.75	6758557.50	555.38
   614771.31	6758555.00	557.72
   614778.31	6758562.00	565.41
